Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
62,Hungary,5.758,1.2010000000000001,1.4099999999999999,0.82799999999999996,0.19900000000000001,0.081000000000000003,0.02,Eu
63,Paraguay,5.7430000000000003,0.85499999999999998,1.4750000000000001,0.77700000000000002,0.51400000000000001,0.184,0.080000000000000002,Sa
64,Northern Cyprus,5.718,1.2629999999999999,1.252,1.042,0.41699999999999998,0.191,0.16200000000000001,Eu
65,Peru,5.6970000000000001,0.95999999999999996,1.274,0.85399999999999998,0.45500000000000002,0.083000000000000004,0.027,Sa
66,Portugal,5.6929999999999996,1.2210000000000001,1.431,0.999,0.50800000000000001,0.047,0.025000000000000001,Eu
67,Pakistan,5.6529999999999996,0.67700000000000005,0.88600000000000001,0.53500000000000003,0.313,0.22,0.098000000000000004,Asia
68,Russia,5.6479999999999997,1.1830000000000001,1.452,0.72599999999999998,0.33400000000000002,0.082000000000000003,0.031,Eu
69,Philippines,5.6310000000000002,0.80700000000000005,1.2929999999999999,0.65700000000000003,0.55800000000000005,0.11700000000000001,0.107,Asia
70,Serbia,5.6029999999999998,1.004,1.383,0.85399999999999998,0.28199999999999997,0.13700000000000001,0.039,Eu
71,Moldova,5.5289999999999999,0.68500000000000005,1.3280000000000001,0.73899999999999999,0.245,0.18099999999999999,0,Eu
72,Libya,5.5250000000000004,1.044,1.3029999999999999,0.67300000000000004,0.41599999999999998,0.13300000000000001,0.152,Africa
73,Montenegro,5.5229999999999997,1.0509999999999999,1.361,0.871,0.19700000000000001,0.14199999999999999,0.080000000000000002,Eu
74,Tajikistan,5.4669999999999996,0.49299999999999999,1.0980000000000001,0.71799999999999997,0.38900000000000001,0.23000000000000001,0.14399999999999999,Asia
75,Croatia,5.4320000000000004,1.155,1.266,0.91400000000000003,0.29599999999999999,0.11899999999999999,0.021999999999999999,Eu
76,Hong Kong,5.4299999999999997,1.4379999999999999,1.2769999999999999,1.1220000000000001,0.44,0.25800000000000001,0.28699999999999998,Asia
77,Dominican Republic,5.4249999999999998,1.0149999999999999,1.401,0.77900000000000003,0.497,0.113,0.10100000000000001,Na
78,Bosnia and Herzegovina,5.3860000000000001,0.94499999999999995,1.212,0.84499999999999997,0.21199999999999999,0.26300000000000001,0.0060000000000000001,Eu
79,Turkey,5.3730000000000002,1.1830000000000001,1.3600000000000001,0.80800000000000005,0.19500000000000001,0.083000000000000004,0.106,Asia
80,Malaysia,5.3390000000000004,1.2210000000000001,1.171,0.82799999999999996,0.50800000000000001,0.26000000000000001,0.024,Asia
81,Belarus,5.3230000000000004,1.0669999999999999,1.4650000000000001,0.78900000000000003,0.23499999999999999,0.094,0.14199999999999999,Eu
82,Greece,5.2869999999999999,1.181,1.1559999999999999,0.999,0.067000000000000004,0,0.034000000000000002,Eu
83,Mongolia,5.2850000000000001,0.94799999999999995,1.5309999999999999,0.66700000000000004,0.317,0.23499999999999999,0.037999999999999999,Asia
84,North Macedonia,5.274,0.98299999999999998,1.294,0.83799999999999997,0.34499999999999997,0.185,0.034000000000000002,Eu
85,Nigeria,5.2649999999999997,0.69599999999999995,1.111,0.245,0.42599999999999999,0.215,0.041000000000000002,Africa
86,Kyrgyzstan,5.2610000000000001,0.55100000000000005,1.4379999999999999,0.72299999999999998,0.50800000000000001,0.29999999999999999,0.023,Asia
87,Turkmenistan,5.2469999999999999,1.052,1.538,0.65700000000000003,0.39400000000000002,0.24399999999999999,0.028000000000000001,Asia
88,Algeria,5.2110000000000003,1.002,1.1599999999999999,0.78500000000000003,0.085999999999999993,0.072999999999999995,0.114,Africa
89,Morocco,5.2080000000000002,0.80100000000000005,0.78200000000000003,0.78200000000000003,0.41799999999999998,0.035999999999999997,0.075999999999999998,Africa
90,Azerbaijan,5.2080000000000002,1.0429999999999999,1.147,0.76900000000000002,0.35099999999999998,0.035000000000000003,0.182,Asia
